#{"t_start": 1765095606.625736, "env_id": "intersection-v0"}
r,l,t
-1.0,5,418.758707
-0.299923,5,418.905614
8.681208,10,419.253077
10.0,10,419.494001
-1.0,5,419.588023
9.0,9,419.76139
-1.0,5,419.948072
1.0,6,420.132235
0.158681,6,420.359116
-2.0,4,420.480761
9.0,9,420.661426
3.0,9,420.915996
10.0,10,421.193256
-1.0,5,421.339197
-1.0,5,421.552074
9.0,9,421.807726
0.0,6,422.018174
9.0,9,422.27547
0.0,6,422.446869
0.0,5,422.613005
-1.0,5,422.700849
10.0,10,422.887122
9.0,9,423.075226
1.0,7,423.338929
9.0,9,423.667801
9.0,9,423.955099
-1.0,5,424.123326
-1.299552,4,424.307827
10.0,10,424.519827
-1.0,5,424.664026
10.0,10,424.917709
10.0,10,425.266246
9.0,9,425.542255
-2.0,4,425.693316
9.0,9,425.842415
-1.318719,6,425.945605
9.0,9,426.241443
0.0,6,426.363183
9.615599,11,426.810018
0.0,5,426.916815
-1.299552,4,427.053922
-2.0,4,427.192925
-1.0,5,427.365214
-2.0,4,427.472092
9.615573,11,427.851909
9.0,9,428.023933
10.0,10,428.382131
-1.84084,4,428.529824
-1.0,5,428.741126
9.0,9,428.933804
9.0,9,429.178625
-0.299923,5,429.363554
8.0,8,429.630656
-1.0,5,429.834266
0.0,6,430.025926
10.0,10,430.394344
9.0,9,430.758761
-2.0,4,430.903271
0.158681,6,431.259509
9.0,9,431.428464
0.0,6,431.649602
1.0,7,431.910173
-1.0,5,432.043058
10.0,10,432.380205
9.0,9,432.625665
0.0,6,432.806606
-1.0,4,432.922371
9.0,9,433.091055
8.0,8,433.333245
-2.0,4,433.498393
1.0,7,447.629638
0.0,5,447.799206
10.0,10,448.080402
9.0,9,448.331987
10.0,10,448.608823
8.0,9,448.84119
10.0,10,449.198531
10.0,10,449.555389
0.0,6,449.735191
10.0,10,449.928946
-1.0,5,450.049431
9.0,9,450.308618
-1.0,5,450.463066
9.0,9,450.683431
9.0,9,450.908395
9.0,9,451.155149
9.0,9,451.336145
0.0,6,451.477998
8.0,8,451.70625
0.0,6,451.854697
-1.0,5,451.985192
0.0,6,452.266983
0.0,6,452.459363
0.0,6,452.637542
3.0,9,452.850263
9.0,9,453.154487
-1.0,5,453.282845
0.0,6,453.446823
0.0,6,453.637944
0.0,6,453.837014
9.0,9,454.065657
9.0,9,454.282418
9.0,9,454.574862
0.0,6,454.705996
9.0,9,454.998411
-1.0,5,455.139072
0.0,6,455.379769
9.0,9,455.621154
0.0,6,455.81995
9.0,9,456.252129
8.633113,10,456.545166
10.0,10,456.917738
8.0,8,457.203571
-1.372771,6,457.422621
7.616072,9,457.62793
-1.299552,4,457.746421
0.0,6,457.922774
9.0,9,458.138335
0.0,6,458.293335
0.0,6,458.447515
9.0,9,458.708485
9.0,9,458.947002
0.0,6,459.198549
-1.0,5,459.338702
10.0,10,459.579822
9.0,9,459.926298
0.0,6,460.079132
10.0,10,460.493798
9.0,9,460.671446
-1.0,5,460.770082
10.0,10,461.125603
10.0,10,461.478967
-2.0,4,461.583392
1.0,7,461.719445
0.0,5,461.83593
-2.437045,7,462.092
-1.0,5,462.243098
9.0,9,462.446622
-1.0,5,462.549674
0.0,6,476.999977
1.420002,7,477.179075
-2.0,4,477.31921
10.0,10,477.584266
-0.299923,5,477.853366
0.0,6,477.964793
10.0,10,478.184109
0.0,6,478.372561
-1.0,5,478.489519
9.0,9,478.714507
9.0,9,479.022304
0.0,6,479.243311
9.0,9,479.604805
-1.0,5,479.768228
0.0,6,479.924025
-5.0,1,479.980063
9.0,9,480.283122
10.0,10,480.485098
10.0,10,480.676417
1.420002,7,480.940305
9.0,9,481.118389
10.0,10,481.368602
-2.0,4,481.441995
9.0,9,481.674439
9.0,9,481.964795
8.549894,11,482.20366
10.0,10,482.408014
9.0,9,482.604553
9.0,9,482.843677
0.0,6,483.061184
9.0,9,483.370619
9.0,9,483.738054
-1.0,4,483.88468
9.0,9,484.077347
-0.299923,5,484.226517
0.0,6,484.486746
0.0,6,484.614198
0.0,6,484.726628
8.0,8,484.995074
10.0,10,485.287527
10.0,10,485.612441
-1.0,5,485.747071
10.0,10,486.116668
0.0,6,486.244697
0.0,6,486.518599
-0.57992,5,486.658711
0.0,6,486.788034
0.0,6,486.978821
10.0,10,487.252298
0.0,5,487.438523
7.617435,9,487.731964
10.0,10,488.156121
-1.0,5,488.260786
0.0,6,488.571634
10.0,10,488.872141
-0.841249,5,489.062496
9.0,9,489.34319
11.0,11,489.564597
-1.0,5,489.749788
7.562943,10,490.002856
9.0,9,490.27548
9.0,9,490.55371
10.0,10,490.925162
-1.366575,6,491.19562
9.0,9,491.492747
-2.0,4,491.623862
9.0,9,491.969393
10.0,10,492.148761
9.0,9,506.446359
1.0,7,506.681894
-1.0,5,506.850697
10.0,10,507.155779
0.0,6,507.278728
9.0,9,507.702482
9.0,9,508.094787
9.0,9,508.490982
8.0,8,508.838384
4.0,5,509.028277
7.615917,9,509.29214
9.0,9,509.665403
9.0,9,509.940068
-1.0,5,510.1478
9.0,9,510.557083
0.0,6,510.689346
-2.0,4,510.849749
-0.841249,5,511.023799
9.0,9,511.398568
0.0,6,511.661222
-2.0,4,511.80898
9.0,9,511.997052
10.0,10,512.278725
1.0,7,512.488458
-1.0,5,512.642297
8.0,8,512.945566
9.0,9,513.222122
0.0,6,513.384281
9.0,9,513.66239
9.0,9,513.935456
9.0,9,514.170182
8.0,8,514.359351
9.0,9,514.640223
3.0,9,515.003632
-1.0,5,515.151451
9.0,9,515.370869
9.0,9,515.565028
8.0,8,515.774888
9.0,9,516.050106
9.0,9,516.185275
-2.0,4,516.374265
9.0,9,516.665502
0.0,6,516.898461
-1.0,5,517.138867
0.0,5,517.236188
9.0,9,517.402872
8.0,8,517.68284
9.0,9,517.929971
0.0,6,518.025528
9.0,9,518.241387
-0.299923,5,518.446404
-0.299923,5,518.638273
-0.299923,5,518.806382
-2.0,4,518.935744
9.0,9,519.23682
9.0,9,519.442111
10.0,10,519.747332
-1.0,5,519.88945
0.0,6,520.049552
0.0,6,520.205599
10.0,10,520.510436
10.0,10,520.845653
9.0,9,521.068794
9.0,9,521.270243
-1.0,5,521.41409
0.0,5,521.596665
-0.57992,5,521.777453
10.0,10,522.191837
10.0,10,536.719685
-3.0,2,536.833195
9.0,9,537.037348
10.0,10,537.360531
10.0,10,537.612664
8.0,8,537.786155
-1.84084,4,537.923258
