#{"t_start": 1765078893.5571158, "env_id": "merge-v0"}
r,l,t
23.740903,31,184.420756
24.008618,36,184.679396
21.829901,30,184.873328
23.960871,35,185.162053
26.59242,34,185.403951
28.467466,35,185.668627
24.551701,36,186.006425
27.719078,34,186.278311
28.24389,35,186.524145
28.469084,35,186.838112
29.069049,36,187.089042
20.872427,30,187.313593
28.325241,35,187.55901
27.233499,35,187.833403
23.560784,35,188.077736
28.369087,35,188.4189
23.808618,36,188.696329
26.400033,36,188.957221
28.497586,35,189.230682
28.469087,36,189.46182
26.300021,36,189.716134
23.564063,36,189.973335
28.219087,36,190.246223
26.100033,36,190.509561
24.358618,36,190.783085
24.008618,36,191.045638
28.56377,35,191.327333
24.158618,36,191.600063
28.219087,36,191.856436
24.110859,35,192.125178
29.069073,36,192.385826
29.258473,36,192.632193
28.969087,36,192.926793
28.469027,35,193.250571
23.858618,36,193.515242
28.299862,35,193.746936
24.058618,36,193.971449
28.369087,35,194.219555
24.328741,31,194.471593
28.49756,35,194.722002
28.618864,35,195.026543
28.869087,36,195.277877
28.734513,35,195.5401
28.569087,36,195.795656
23.964063,36,196.087015
27.969087,36,196.349151
23.358618,36,196.592577
26.388665,36,197.552526
27.821898,35,197.819977
24.208618,36,198.113657
28.219087,35,198.374106
27.669087,35,198.664895
28.518775,36,198.906037
24.558618,36,199.127875
28.669087,36,199.467676
26.988977,36,199.725127
28.969087,36,199.967605
26.002385,34,200.186138
28.769087,36,200.451359
24.108535,35,200.709501
26.244271,34,200.97569
28.669087,36,201.224146
26.119087,33,201.528575
26.93896,35,201.819001
24.358618,36,202.065628
24.110871,35,202.369205
28.869087,36,202.632283
28.269087,36,202.913545
26.956557,36,203.166561
27.669061,35,203.470046
24.110858,35,203.73419
23.614063,36,203.987756
24.058618,36,204.241288
20.981783,29,204.490445
24.458618,36,204.748169
24.466816,35,205.034917
23.808618,36,205.352932
25.321719,32,205.567102
24.180584,34,205.844595
28.869087,36,206.094329
24.308618,36,206.315415
23.974632,34,206.618627
24.008618,36,206.860152
28.569087,35,207.174858
27.419087,35,207.406861
28.969087,36,207.611733
28.719027,36,207.792821
26.999862,35,207.958653
28.269087,36,208.147145
28.669087,36,208.35058
27.919087,35,208.581757
28.419087,36,208.754834
26.617531,34,208.963506
24.439393,36,209.158511
21.306568,29,209.31023
24.068476,34,209.524571
24.802385,32,209.698175
23.666323,33,209.885534
21.855013,30,210.025483
18.134531,23,210.148477
24.358618,36,210.338625
25.888975,35,210.542367
23.808618,36,210.77568
24.058618,36,210.968932
28.719087,36,211.150411
26.856568,36,211.414596
28.669084,35,212.167813
24.208618,36,212.379554
25.850033,35,212.598942
28.869087,36,212.774089
16.002178,22,212.911812
28.819087,36,213.093659
28.969087,36,213.305691
27.269087,36,213.477925
24.358618,36,213.666725
27.819087,35,213.86815
20.678515,30,214.034058
29.12524,36,214.209376
28.36829,35,214.417645
23.908618,36,214.627086
28.469087,35,214.876105
24.110866,35,215.108774
