#{"t_start": 1765095430.307053, "env_id": "intersection-v0"}
r,l,t
9.0,9,256.782918
2.0,8,257.00769
6.23413,11,257.333243
-1.372771,6,257.550153
0.0,6,257.854501
9.0,9,258.15931
9.0,9,258.522064
0.158681,6,258.642492
0.0,6,258.899434
-2.444964,6,259.095419
-0.57992,5,259.286354
10.0,10,259.675898
-1.84084,4,259.771638
1.0,6,260.042422
10.0,10,260.232376
7.616072,9,260.613387
8.549876,11,261.104899
-1.0,5,261.260074
0.0,5,261.367048
3.0,9,261.641454
9.0,9,261.879774
-1.436972,7,262.049034
10.0,10,262.341242
7.633114,9,262.705903
8.0,8,262.930795
0.0,6,263.113822
7.550194,10,263.584017
8.0,8,263.753736
2.0,8,264.022641
-5.0,1,264.105557
0.0,6,264.280611
3.0,8,264.582954
9.0,9,264.793917
-1.772312,9,264.994335
10.0,10,265.299124
-1.0,5,265.436563
7.538649,11,265.923124
-1.318719,6,266.077175
0.0,6,266.349089
8.0,10,266.55437
-1.0,6,266.745398
-1.0,4,266.856241
11.0,11,267.103012
8.243306,11,267.558927
9.0,9,267.800127
9.0,9,267.986057
9.0,9,271.720195
9.0,9,272.002307
-1.372771,6,272.251788
9.0,9,272.378615
-1.0,6,272.52442
-3.316297,13,273.027849
8.47331,12,273.295898
0.0,6,273.499754
0.0,6,273.661324
8.615844,10,273.966882
2.0,13,274.535187
10.0,10,274.752008
9.0,9,274.943881
0.158681,6,275.133567
0.0,6,275.384868
0.0,6,275.54627
9.0,9,275.737445
9.0,9,275.948459
-1.381837,10,276.307933
0.0,8,276.610634
7.538666,11,276.876879
9.0,9,277.176649
10.0,10,277.58623
-5.0,1,277.660077
0.0,6,277.868547
10.0,10,278.146838
0.0,5,278.238155
0.0,6,278.440934
8.616025,10,278.734584
9.0,9,278.847801
10.0,10,279.064501
7.552044,10,279.316924
-1.318719,6,279.46591
8.0,8,279.648405
8.552042,11,279.865711
9.0,9,280.103373
9.0,9,280.402981
-1.366575,6,280.52131
8.633113,10,280.816273
-2.449867,10,281.059979
9.0,9,281.297994
9.0,9,281.4482
-2.0,8,281.663126
0.0,13,282.158905
7.534798,13,282.519028
-1.0,5,282.652153
0.0,6,282.794993
0.0,6,282.928488
-1.684108,11,283.551215
10.0,10,283.881426
8.0,8,284.13756
10.0,10,284.365065
10.0,10,284.587444
6.470694,12,285.120802
0.0,6,285.345244
9.0,9,285.54355
9.0,9,285.781579
7.287531,10,286.266793
6.550375,9,286.562672
-0.299923,5,290.460226
0.0,6,290.579362
9.0,9,290.81885
-2.0,6,291.021146
0.0,5,291.31909
0.0,6,291.444555
9.0,9,291.808104
9.0,9,292.12715
10.0,10,292.521214
8.0,10,292.806578
-0.841249,5,292.990112
-1.0,5,293.190744
9.0,9,293.538422
7.615917,10,293.988165
9.0,9,294.155933
9.0,9,294.437678
8.47331,12,294.848846
7.615917,9,295.198621
-2.0,4,295.316942
1.0,7,295.593027
-1.0,5,295.780953
0.0,7,296.023318
7.549949,10,296.439578
9.0,9,296.725722
10.0,10,297.018728
10.0,10,297.260374
9.0,9,297.490804
9.0,9,297.81264
10.0,10,298.202724
-0.299923,5,298.336735
9.0,9,298.595277
-3.39375,8,298.856401
0.0,6,298.98979
9.0,9,299.259461
8.0,8,299.613572
9.616017,11,299.913755
1.231826,13,300.441337
1.0,7,300.661649
-1.0,5,300.839132
-1.372771,6,301.022468
9.0,9,301.428444
-0.299923,5,301.552833
8.617423,10,301.933409
9.0,9,302.062545
-1.0,6,302.329815
-1.0,5,302.458676
0.0,6,302.638426
8.459729,13,303.047959
0.0,5,303.157828
10.0,10,303.376922
10.0,10,303.744797
10.0,10,304.133872
-2.0,13,304.595575
10.0,10,304.827329
-1.0,5,304.922479
0.0,6,305.051898
0.0,6,305.195603
7.534415,13,305.773667
0.700013,6,305.908968
7.552044,10,306.239833
10.0,10,306.586202
8.617423,10,306.886616
9.0,9,310.400544
0.0,6,310.591898
8.615645,10,310.891597
-1.372771,6,311.010786
0.0,6,311.265919
10.0,10,311.54231
-1.0,5,311.711364
7.550194,10,312.080489
9.0,9,312.368406
6.468764,13,312.839223
10.0,10,313.118133
10.0,10,313.515637
7.616072,9,313.775854
9.0,9,313.986529
-0.299923,5,314.166418
-2.0,5,314.320174
0.0,6,314.504451
0.0,6,314.637539
-2.0,4,314.810959
9.0,9,314.990221
-1.0,5,315.118128
-1.0,5,315.349315
7.617435,9,315.613557
8.617423,10,315.991291
0.0,6,316.280972
-2.0,10,316.7083
9.0,9,317.071559
0.0,6,317.240167
9.0,9,317.395848
8.550311,11,317.70989
9.0,9,318.06729
8.471393,13,318.616976
-1.0,6,318.81884
0.0,6,319.013254
0.0,6,319.207927
-1.0,6,319.405711
9.0,9,319.743672
1.158669,7,320.038341
8.616025,10,320.444718
-1.0,5,320.597505
10.0,10,320.838598
7.552044,10,321.105957
8.0,8,321.361737
9.0,9,321.63001
9.0,9,321.876184
